	8Mo1_12	8Mo1_13	8Mo1_14	8Mo1_15	8Mo1_16	8Mo1_17	8Mo1_18	8Mo1_19	8Mo1_20	8Mo2_16	8Mo2_17	8Mo2_21	8Mo3_15	8Mo3_16	8Mo3_17	8Mo3_18	8Mo5_3	8Mo6_16	8Mo6_17	8Mo6_18	8Mo6_19	8Mo6_20	8Mo7_11	23Mo7_29_39	23Mo7_29_40	23Mo7_29_41	23Mo7_29_42	23Mo7_29_43	23Mo7_29_44	23Mo7_29_45	23Mo7_29_46	23Mo7_29_47	23Mo7_29_48	23Mo7_29_49	23Mo7_29_51	23Mo7_29_52	23Mo7_29_53	23Mo7_29_54	23Mo7_29_55	23Mo7_29_56
Class	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland
SV2254	0	0	0	0	0	0	0	0	0	9	0	0	0	390	1	10	13	2	0	0	10	2	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0
SV2437	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
SV3305	0	0	0	0	0	0	0	0	0	0	181	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	86	0	0	20	7	0	0	0	0	0	0	0	0	0
SV3306	0	0	0	0	0	0	0	0	0	0	0	0	0	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV4237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	102	3	35	0	110	39	44	11	84	4	7	0	0	0	129	0
SV4698	0	0	0	0	0	0	0	0	0	0	0	0	0	132	1	0	0	0	0	0	0	0	0	0	0	0	28	0	0	6	0	0	0	0	0	12	3	0	11	0
SV5295	0	0	0	0	0	0	0	0	0	12	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV5517	0	0	0	0	0	0	0	0	0	0	13	0	0	71	2	6	0	0	0	0	12	6	0	0	0	0	28	0	0	9	0	16	0	0	0	0	8	0	0	6
SV6536	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
SV6608	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
