Sample_id	Site_type	SV1	SV2	SV3	SV5	SV18	SV20	SV26	SV28	SV33	SV41	SV56	SV58	SV68	SV71	SV76	SV83	SV95	SV107	SV115	SV125	SV146	SV175	SV210	SV221	SV273	SV297	SV313	SV327	SV335	SV356	SV390	SV404	SV408	SV412	SV444	SV458	SV471	SV495	SV501	SV544	SV547	SV633	SV635	SV645	SV671	SV766	SV840	SV845	SV846	SV850	SV854	SV915	SV960	SV969	SV1032	SV1183	SV1238	SV1268	SV1815	SV1933	SV1959	SV2254	SV2298	SV3151	SV3314	SV3338	SV3783	SV5262	SV5517	SV5756	SV6403	SV7561	SV7726	SV10761	SV11651	SV12960	SV34374
8Mo5_2	Desert	105	5474	0	257	344	357	0	5	19	157	25	0	586	0	30	8	34	18	700	16	27	10	16	4	292	1087	29	213	7	339	98	4	8	20	4	1032	5	84	28	5	6	53	116	25	50	12	4	4	9	75	542	109	5	99	62	8	19	8	7	12	237	6	0	21	10	13	7	10	45	8	14	21	11	5	11	17	7
8Mo13_2	Grassland	30778	44	0	0	1	3	0	6	0	0	0	0	0	151	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo13_3	Grassland	33105	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23Mo7_28_2	Grassland	117469	986	16	4	3	1015	2394	264	17	5	0	18	3	7	0	0	35	0	37	0	0	0	0	0	0	0	0	2	0	124	75	0	0	0	0	273	14	0	13	0	0	0	0	0	0	0	2	0	0	0	0	9	0	44	6	0	0	0	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23Mo7_28_4	Grassland	90838	26	10	17	4	1323	667	2	0	0	0	0	0	0	0	0	15	0	28	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	6	0	0	0	0	0	0	3	2	0	3	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23Mo7_28_7	Grassland	69811	1417	7	1223	14	3437	1514	9830	3	7	0	10	0	0	28	5	1	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	5	0	0	0	0	0	0	0	29	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0
23Mo7_28_8	Grassland	63409	166	1	2192	42	2046	109	2304	8	6	0	5359	0	1	28	22	4	0	5	0	6	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	7	0	0	0	11	0	8	0	2	0	0	0	0	50	0	0	39	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0
