Sample_id	Site_type	SV1	SV2	SV3	SV5	SV18	SV20	SV26	SV28	SV33	SV41	SV56	SV58	SV68	SV71	SV76	SV83	SV95	SV107	SV115	SV146	SV210	SV221	SV273	SV274	SV294	SV297	SV303	SV313	SV314	SV327	SV356	SV412	SV414	SV458	SV495	SV544	SV572	SV624	SV633	SV645	SV680	SV850	SV854	SV860	SV915	SV951	SV960	SV969	SV1096	SV1142	SV1235	SV1238	SV1307	SV1595	SV1767	SV1873	SV1959	SV1999	SV2061	SV2370	SV2541	SV2569	SV2622	SV3219	SV3304	SV3598	SV3612	SV4452	SV5192	SV5273	SV5891	SV6502	SV6612	SV7788	SV8470	SV11557	SV12573
8Mo7_12	Desert	5685	24	0	202	10134	1073	15	13	0	166	9	0	0	2	92	0	16443	0	0	3	3	0	0	2	0	15	0	0	0	0	0	0	0	21	0	4	0	0	32	404	0	0	0	0	1	3	0	4	0	0	0	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo7_13	Desert	2323	9370	0	512	3	0	3847	0	0	94	0	0	0	3464	0	0	50	0	0	0	0	0	0	0	4162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo8_11	Desert	140	35588	0	7	3096	0	0	45	0	2	16	0	0	14	0	0	85	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo8_12	Desert	279	21122	0	0	2840	1755	306	8	3742	0	0	0	0	370	0	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo8_13	Desert	1452	34835	0	45	4019	23	0	375	93	19	10	0	10	102	0	0	216	0	19	12	15	0	0	7	0	0	0	0	7	2	0	4	0	5	0	0	0	0	0	4	4	0	0	0	1	23	10	4	0	0	0	2	0	0	8	0	0	0	0	15	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
8Mo8_15	Desert	8	31829	0	0	9272	0	0	73	938	0	0	0	0	111	0	0	65	0	3029	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo9_6	Desert	29	20481	0	29	0	64	14	935	0	239	0	0	57	0	16	261	3	20	54	21	76	8	7	18	0	0	2	0	4	10	1865	10	14	177	52	1	0	0	16	15	4	7	0	5	20	43	22	178	0	0	0	22	0	4	104	17	4	8	0	29	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
8Mo9_7	Desert	457	63	3	18	168	32875	79	10	1	5	5	2	27	0	4	172	30	22	9	92	29	2	22	0	0	0	0	4	15	6	5	2	8	0	61	0	0	0	0	6	4	0	0	0	13	37	10	0	0	0	0	0	0	3	0	0	13	0	0	24	0	0	0	0	4	0	0	0	0	5	0	0	5	0	0	0	0
8Mo9_9	Desert	951	100	0	44	14	1396	9	16	0	19	0	0	3	4	17	796	8	1	36	19	5	0	0	2	0	117	7	3	5	6	0	2	0	40	22	15	0	0	0	0	0	0	0	0	10	34	0	32	0	0	5	0	0	0	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
8Mo13_1	Grassland	55280	30	0	333	36	100	0	58	0	0	0	0	58	5	0	0	5	0	0	41	49	0	0	8	0	0	0	0	8	0	0	0	0	0	0	24	0	0	0	182	5	0	0	0	54	0	0	0	11	0	0	50	0	0	17	0	0	0	0	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0
8Mo16_1	Grassland	21706	9663	0	365	6	10	169	140	3	5	0	1	1	13	165	0	135	45	5	0	126	0	0	2	0	0	0	100	0	0	5	0	2	15	0	0	0	0	22	33	0	0	4	0	11	0	0	2	4	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo16_2	Grassland	15591	4919	6	1047	6	26	1881	570	5	2	0	6	18	12	402	0	217	163	7	0	515	17	0	12	0	0	0	302	0	4	16	3	0	466	0	0	0	0	112	108	0	0	18	4	175	0	0	0	9	0	0	13	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo16_3	Grassland	18048	1823	2	237	1	0	0	810	0	0	0	0	18	0	32	0	89	2	5	2	185	15	0	14	0	0	0	17	0	4	1	0	6	5	0	0	0	0	13	92	0	0	5	0	293	1	0	0	12	0	0	5	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo16_4	Grassland	10771	5667	1	494	0	5	3	1978	0	0	0	2	83	11	108	0	286	23	0	0	518	24	14	16	0	0	0	115	0	13	11	1	7	26	0	0	0	4	39	226	0	0	10	6	821	0	0	0	18	0	0	15	2	0	143	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo16_5	Grassland	34705	3498	4	797	3	4	1081	364	0	0	2	3	0	12	149	0	145	17	3	5	312	1	1	3	0	5025	0	50	0	0	153	0	0	20	188	0	0	0	54	35	0	0	0	4	29	0	2	0	0	0	0	9	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23Mo7_28_1	Grassland	92933	3246	21	683	1651	582	58	530	1	18	0	309	4	0	0	14	13	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23Mo7_28_3	Grassland	48135	175	5	35	3	1051	1444	3	30	53	0	92	0	35	0	0	162	23	23	0	0	0	0	0	0	0	0	0	0	0	5	0	0	302	0	0	0	0	0	0	0	0	14	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23Mo7_28_5	Grassland	64019	54	3	56	9	6536	12559	132	0	0	0	14	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	416	0	0	149	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23Mo7_28_6	Grassland	90183	14849	5	12	5	0	7	2	14	0	0	8	0	0	0	0	7	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23Mo7_29_38	Grassland	113781	120	11	103	58	8	4	18	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	19	0	0	11	0	38	0	0	2	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	16	0	0	9	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
