Sample_id	Country	Region	Site	Year	Month	Day	Sample_type	Site_type	Weather_condition	Subfamily	Genus	Species	Functional_group	Sex	Fecal_type	GPS.N.	GPS.E.	GPS_decimal.N.	GPS_decimal.E.	Collected_time	Altitude	Temperature	Humidity...	Elevation	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	SG
8Mo16_20	8Mo16_20	Mongolia	Terelzi	16	2022	8	15	gut	Grassland	Sunny	Aphodiinae	Bodilus	sordescens	Dweller	Unidentified	Cow_Horse	47_47_36_94	107_19_18_53	47.793594	107.321814	1120_1150	Unidentified	20.3	34.7	1396	-1.745833	14.65833	26.70006	1531.382	24.3	-30.6	54.9	16.11667	-21.6333	16.1166	-21.6333	268	76	2	119.2229	196	6	196	6	I(Lithosols)
8MoENV2_1	8MoENV2_1	Mongolia	KhuldNorth10km	2	2022	8	11	soil	Desert	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	45_18_09_84	105_37_02_69	45.302725	105.617406	1620_1650	1306m	31	20.6	1306	2.470833	13.375	26.75	1389.733	26.7	-23.3	50	19.01667	-11.91667	19.0166	-15.2333	119	36	0	119.6564	89	2	89	2	XI(Luvic Xerosols)
8MoENV2_2	8MoENV2_2	Mongolia	KhuldNorth10km	2	2022	8	11	soil	Desert	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	45_18_09_84	105_37_02_69	45.302725	105.617406	1620_1650	1306m	31	20.6	1306	2.470833	13.375	26.75	1389.733	26.7	-23.3	50	19.01667	-11.91667	19.0166	-15.2333	119	36	0	119.6564	89	2	89	2	XI(Luvic Xerosols)
8MoENV2_3	8MoENV2_3	Mongolia	KhuldNorth10km	2	2022	8	11	soil	Desert	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	45_18_09_84	105_37_02_69	45.302725	105.617406	1620_1650	1306m	31	20.6	1306	2.470833	13.375	26.75	1389.733	26.7	-23.3	50	19.01667	-11.91667	19.0166	-15.2333	119	36	0	119.6564	89	2	89	2	XI(Luvic Xerosols)
8MoENV2_1C	8MoENV2_1C	Mongolia	KhuldNorth10km	2	2022	8	11	fecal	Desert	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Camel	45_18_09_84	105_37_02_69	45.302725	105.617406	1620_1650	1306m	31	20.6	1306	2.470833	13.375	26.75	1389.733	26.7	-23.3	50	19.01667	-11.91667	19.0166	-15.2333	119	36	0	119.6564	89	2	89	2	XI(Luvic Xerosols)
8MoENV2_2C	8MoENV2_2C	Mongolia	KhuldNorth10km	2	2022	8	11	fecal	Desert	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Camel	45_18_09_84	105_37_02_69	45.302725	105.617406	1620_1650	1306m	31	20.6	1306	2.470833	13.375	26.75	1389.733	26.7	-23.3	50	19.01667	-11.91667	19.0166	-15.2333	119	36	0	119.6564	89	2	89	2	XI(Luvic Xerosols)
8MoENV2_3C	8MoENV2_3C	Mongolia	KhuldNorth10km	2	2022	8	11	fecal	Desert	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Camel	45_18_09_84	105_37_02_69	45.302725	105.617406	1620_1650	1306m	31	20.6	1306	2.470833	13.375	26.75	1389.733	26.7	-23.3	50	19.01667	-11.91667	19.0166	-15.2333	119	36	0	119.6564	89	2	89	2	XI(Luvic Xerosols)
8MoENV3_1	8MoENV3_1	Mongolia	KhuldSouth40km	3	2022	8	11	soil	Desert	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	44_51_11_81	105_30_23_36	44.853244	105.506453	1800_1845	1186m	31.9	20.3	1186	3.554167	13.10833	26.0603	1402.72	28	-22.3	50.3	20.2333	-14.333	20.233	-14.3333	107	31	1	109.1567	76	3	76	3	XI(Luvic Xerosols)
8MoENV3_2	8MoENV3_2	Mongolia	KhuldSouth40km	3	2022	8	11	soil	Desert	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	44_51_11_81	105_30_23_37	44.853244	105.506453	1800_1845	1186m	31.9	20.3	1186	3.554167	13.10833	26.0603	1402.72	28	-22.3	50.3	20.2333	-14.333	20.233	-14.3333	107	31	1	109.1567	76	3	76	3	XI(Luvic Xerosols)
8MoENV3_3	8MoENV3_3	Mongolia	KhuldSouth40km	3	2022	8	11	soil	Desert	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	44_51_11_81	105_30_23_38	44.853244	105.506453	1800_1845	1186m	31.9	20.3	1186	3.554167	13.10833	26.0603	1402.72	28	-22.3	50.3	20.2333	-14.333	20.233	-14.3333	107	31	1	109.1567	76	3	76	3	XI(Luvic Xerosols)
8MoENV3_1C	8MoENV3_1C	Mongolia	KhuldSouth40km	3	2022	8	11	fecal	Desert	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Camel	44_51_11_81	105_30_23_39	44.853244	105.506453	1800_1845	1186m	31.9	20.3	1186	3.554167	13.10833	26.0603	1402.72	28	-22.3	50.3	20.2333	-14.333	20.233	-14.3333	107	31	1	109.1567	76	3	76	3	XI(Luvic Xerosols)
8MoENV3_2C	8MoENV3_2C	Mongolia	KhuldSouth40km	3	2022	8	11	fecal	Desert	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Camel	44_51_11_81	105_30_23_40	44.853244	105.506453	1800_1845	1186m	31.9	20.3	1186	3.554167	13.10833	26.0603	1402.72	28	-22.3	50.3	20.2333	-14.333	20.233	-14.3333	107	31	1	109.1567	76	3	76	3	XI(Luvic Xerosols)
8MoENV3_3C	8MoENV3_3C	Mongolia	KhuldSouth40km	3	2022	8	11	fecal	Desert	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Camel	44_51_11_81	105_30_23_41	44.853244	105.506453	1800_1845	1186m	31.9	20.3	1186	3.554167	13.10833	26.0603	1402.72	28	-22.3	50.3	20.2333	-14.333	20.233	-14.3333	107	31	1	109.1567	76	3	76	3	XI(Luvic Xerosols)
8MoENV4_1	8MoENV4_1	Mongolia	TsogtovooSouth9km	4	2022	8	12	soil	Desert	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	44_21_18_35	105_15_26_58	44.355072	105.257358	1045_1215	1180m	28	24.1	1180	4.341667	13.68333	27.20345	1379.736	28.7	-21.6	50.3	20.75	-13.18333	20.75	-13.18333	101	29	1	104.4875	70	3	70	3	XI(Luvic Xerosols)
8MoENV4_2	8MoENV4_2	Mongolia	TsogtovooSouth9km	4	2022	8	12	soil	Desert	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	44_21_18_35	105_15_26_59	44.355072	105.257358	1045_1215	1180m	28	24.1	1180	4.341667	13.68333	27.20345	1379.736	28.7	-21.6	50.3	20.75	-13.18333	20.75	-13.18333	101	29	1	104.4875	70	3	70	3	XI(Luvic Xerosols)
8MoENV4_3	8MoENV4_3	Mongolia	TsogtovooSouth9km	4	2022	8	12	soil	Desert	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	44_21_18_35	105_15_26_60	44.355072	105.257358	1045_1215	1180m	28	24.1	1180	4.341667	13.68333	27.20345	1379.736	28.7	-21.6	50.3	20.75	-13.18333	20.75	-13.18333	101	29	1	104.4875	70	3	70	3	XI(Luvic Xerosols)
8MoENV4_2C	8MoENV4_2C	Mongolia	TsogtovooSouthwest63km	4	2022	8	12	fecal	Desert	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Cow	44_21_18_35	105_15_26_60	44.355072	105.257358	1045_1215	1180m	28	24.1	1180	4.341667	13.68333	27.20345	1379.736	28.7	-21.6	50.3	20.75	-13.18333	20.75	-13.18333	101	29	1	104.4875	70	3	70	3	XI(Luvic Xerosols)
8MoENV6_1	8MoENV6_1	Mongolia	TsogtovooSouthwest63km	6	2022	8	12	soil	Desert	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	43_56_56_60	104_57_40_96	43.949056	104.961378	1340_1430	1534m	30.8	22.3	1534	3.55	12.83333	26.84798	1314.372	26.9	-20.9	47.8	19.31667	-12.9667	19.31667	-12.9667	119	33	1	102.7097	81	4	81	4	XI(Luvic Xerosols)
8MoENV6_2	8MoENV6_2	Mongolia	TsogtovooSouthwest63km	6	2022	8	12	soil	Desert	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	43_56_56_60	104_57_40_96	43.949056	104.961378	1340_1430	1534m	30.8	22.3	1534	3.55	12.83333	26.84798	1314.372	26.9	-20.9	47.8	19.31667	-12.9667	19.31667	-12.9667	119	33	1	102.7097	81	4	81	4	XI(Luvic Xerosols)
8MoENV6_3	8MoENV6_3	Mongolia	TsogtovooSouthwest63km	6	2022	8	12	soil	Desert	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	43_56_56_60	104_57_40_96	43.949056	104.961378	1340_1430	1534m	30.8	22.3	1534	3.55	12.83333	26.84798	1314.372	26.9	-20.9	47.8	19.31667	-12.9667	19.31667	-12.9667	119	33	1	102.7097	81	4	81	4	XI(Luvic Xerosols)
8MoENV6_1H	8MoENV6_1H	Mongolia	TsogtovooSouthwest63km	6	2022	8	12	fecal	Desert	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Horse	43_56_56_60	104_57_40_96	43.949056	104.961378	1340_1430	1534m	30.8	22.3	1534	3.55	12.83333	26.84798	1314.372	26.9	-20.9	47.8	19.31667	-12.9667	19.31667	-12.9667	119	33	1	102.7097	81	4	81	4	XI(Luvic Xerosols)
8MoENV6_2H	8MoENV6_2H	Mongolia	TsogtovooSouthwest63km	6	2022	8	12	fecal	Desert	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Horse	43_56_56_60	104_57_40_96	43.949056	104.961378	1340_1430	1534m	30.8	22.3	1534	3.55	12.83333	26.84798	1314.372	26.9	-20.9	47.8	19.31667	-12.9667	19.31667	-12.9667	119	33	1	102.7097	81	4	81	4	XI(Luvic Xerosols)
8MoENV6_3H	8MoENV6_3H	Mongolia	TsogtovooSouthwest63km	6	2022	8	12	fecal	Desert	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Horse	43_56_56_60	104_57_40_96	43.949056	104.961378	1340_1430	1534m	30.8	22.3	1534	3.55	12.83333	26.84798	1314.372	26.9	-20.9	47.8	19.31667	-12.9667	19.31667	-12.9667	119	33	1	102.7097	81	4	81	4	XI(Luvic Xerosols)
8MoENV8_1	8MoENV8_1	Mongolia	DalanzadgadNortheast23km	8	2022	8	12	soil	Desert	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	43_41_12_72	104_39_42_2	43.686867	104.661722	1810_1850	1408m	32.2	22	1408	4.504167	13.45833	27.35434	1334.581	28.1	-21.1	49.2	20.35	-10.7	20.35	-12.46667	117	31	1	100.6689	79	5	79	5	XI(Luvic Xerosols)
8MoENV8_2	8MoENV8_2	Mongolia	DalanzadgadNortheast23km	8	2022	8	12	soil	Desert	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	43_41_12_72	104_39_42_2	43.686867	104.661722	1810_1850	1408m	32.2	22	1408	4.504167	13.45833	27.35434	1334.581	28.1	-21.1	49.2	20.35	-10.7	20.35	-12.46667	117	31	1	100.6689	79	5	79	5	XI(Luvic Xerosols)
8MoENV8_3	8MoENV8_3	Mongolia	DalanzadgadNortheast23km	8	2022	8	12	soil	Desert	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	43_41_12_72	104_39_42_2	43.686867	104.661722	1810_1850	1408m	32.2	22	1408	4.504167	13.45833	27.35434	1334.581	28.1	-21.1	49.2	20.35	-10.7	20.35	-12.46667	117	31	1	100.6689	79	5	79	5	XI(Luvic Xerosols)
8MoENV8_1H	8MoENV8_1H	Mongolia	DalanzadgadNortheast23km	8	2022	8	12	fecal	Desert	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Horse	43_41_12_72	104_39_42_2	43.686867	104.661722	1810_1850	1408m	32.2	22	1408	4.504167	13.45833	27.35434	1334.581	28.1	-21.1	49.2	20.35	-10.7	20.35	-12.46667	117	31	1	100.6689	79	5	79	5	XI(Luvic Xerosols)
8MoENV8_2H	8MoENV8_2H	Mongolia	DalanzadgadNortheast23km	8	2022	8	12	fecal	Desert	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Horse	43_41_12_72	104_39_42_2	43.686867	104.661722	1810_1850	1408m	32.2	22	1408	4.504167	13.45833	27.35434	1334.581	28.1	-21.1	49.2	20.35	-10.7	20.35	-12.46667	117	31	1	100.6689	79	5	79	5	XI(Luvic Xerosols)
8MoENV8_3H	8MoENV8_3H	Mongolia	DalanzadgadNortheast23km	8	2022	8	12	fecal	Desert	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Horse	43_41_12_72	104_39_42_2	43.686867	104.661722	1810_1850	1408m	32.2	22	1408	4.504167	13.45833	27.35434	1334.581	28.1	-21.1	49.2	20.35	-10.7	20.35	-12.46667	117	31	1	100.6689	79	5	79	5	XI(Luvic Xerosols)
7Mo261_1	7Mo261_1	Mongolia	Erdeneteast20km	26	2022	6	24	fecal	Grassland	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Horse	49_04_30_8	104_19_47_1	49.075222	104.32975	1650_1800	1100m	28.8	37.5	1100	-1.058333	15.15	29.53216	1406.74	23.4	-27.9	51.3	15.45	-19.2333	15.45	-19.2333	329	93	2	113.6396	230	7	230	7	I(Lithosols)
7Mo261_2	7Mo261_2	Mongolia	Erdeneteast20km	26	2022	6	24	fecal	Grassland	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Horse	49_04_30_8	104_19_47_1	49.075222	104.32975	1650_1800	1100m	28.8	37.5	1100	-1.058333	15.15	29.53216	1406.74	23.4	-27.9	51.3	15.45	-19.2333	15.45	-19.2333	329	93	2	113.6396	230	7	230	7	I(Lithosols)
7Mo261_3	7Mo261_3	Mongolia	Erdeneteast20km	26	2022	6	24	fecal	Grassland	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Horse	49_04_30_8	104_19_47_1	49.075222	104.32975	1650_1800	1100m	28.8	37.5	1100	-1.058333	15.15	29.53216	1406.74	23.4	-27.9	51.3	15.45	-19.2333	15.45	-19.2333	329	93	2	113.6396	230	7	230	7	I(Lithosols)
7Mo262_1	7Mo262_1	Mongolia	Erdeneteast20km	26	2022	6	24	fecal	Grassland	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Horse	49_04_30_8	104_19_47_1	49.075222	104.32975	1650_1800	1100m	28.8	37.5	1100	-1.058333	15.15	29.53216	1406.74	23.4	-27.9	51.3	15.45	-19.2333	15.45	-19.2333	329	93	2	113.6396	230	7	230	7	I(Lithosols)
7Mo262_3	7Mo262_3	Mongolia	Erdeneteast20km	26	2022	6	24	fecal	Grassland	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Horse	49_04_30_8	104_19_47_1	49.075222	104.32975	1650_1800	1100m	28.8	37.5	1100	-1.058333	15.15	29.53216	1406.74	23.4	-27.9	51.3	15.45	-19.2333	15.45	-19.2333	329	93	2	113.6396	230	7	230	7	I(Lithosols)
7Mo263_1	7Mo263_1	Mongolia	Erdeneteast20km	26	2022	6	24	fecal	Grassland	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Horse	49_04_30_8	104_19_47_1	49.075222	104.32975	1650_1800	1100m	28.8	37.5	1100	-1.058333	15.15	29.53216	1406.74	23.4	-27.9	51.3	15.45	-19.2333	15.45	-19.2333	329	93	2	113.6396	230	7	230	7	I(Lithosols)
7Mo263_2	7Mo263_2	Mongolia	Erdeneteast20km	26	2022	6	24	fecal	Grassland	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Horse	49_04_30_8	104_19_47_1	49.075222	104.32975	1650_1800	1100m	28.8	37.5	1100	-1.058333	15.15	29.53216	1406.74	23.4	-27.9	51.3	15.45	-19.2333	15.45	-19.2333	329	93	2	113.6396	230	7	230	7	I(Lithosols)
7Mo263_3	7Mo263_3	Mongolia	Erdeneteast20km	26	2022	6	24	fecal	Grassland	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Horse	49_04_30_8	104_19_47_1	49.075222	104.32975	1650_1800	1100m	28.8	37.5	1100	-1.058333	15.15	29.53216	1406.74	23.4	-27.9	51.3	15.45	-19.2333	15.45	-19.2333	329	93	2	113.6396	230	7	230	7	I(Lithosols)
7Mo26_4	7Mo26_4	Mongolia	Erdeneteast20km	26	2022	6	24	soil	Grassland	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	49_04_30_8	104_19_47_1	49.075222	104.32975	1650_1800	1100m	28.8	37.5	1100	-1.058333	15.15	29.53216	1406.74	23.4	-27.9	51.3	15.45	-19.2333	15.45	-19.2333	329	93	2	113.6396	230	7	230	7	I(Lithosols)
7Mo26_5	7Mo26_5	Mongolia	Erdeneteast20km	26	2022	6	24	soil	Grassland	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	49_04_30_8	104_19_47_1	49.075222	104.32975	1650_1800	1100m	28.8	37.5	1100	-1.058333	15.15	29.53216	1406.74	23.4	-27.9	51.3	15.45	-19.2333	15.45	-19.2333	329	93	2	113.6396	230	7	230	7	I(Lithosols)
7Mo26_6	7Mo26_6	Mongolia	Erdeneteast20km	26	2022	6	24	soil	Grassland	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	49_04_30_8	104_19_47_1	49.075222	104.32975	1650_1800	1100m	28.8	37.5	1100	-1.058333	15.15	29.53216	1406.74	23.4	-27.9	51.3	15.45	-19.2333	15.45	-19.2333	329	93	2	113.6396	230	7	230	7	I(Lithosols)
7Mo26_7	7Mo26_7	Mongolia	Erdeneteast20km	26	2022	6	24	soil	Grassland	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	49_04_30_8	104_19_47_1	49.075222	104.32975	1650_1800	1100m	28.8	37.5	1100	-1.058333	15.15	29.53216	1406.74	23.4	-27.9	51.3	15.45	-19.2333	15.45	-19.2333	329	93	2	113.6396	230	7	230	7	I(Lithosols)
7Mo26_8	7Mo26_8	Mongolia	Erdeneteast20km	26	2022	6	24	soil	Grassland	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	49_04_30_8	104_19_47_1	49.075222	104.32975	1650_1800	1100m	28.8	37.5	1100	-1.058333	15.15	29.53216	1406.74	23.4	-27.9	51.3	15.45	-19.2333	15.45	-19.2333	329	93	2	113.6396	230	7	230	7	I(Lithosols)
7Mo26_9	7Mo26_9	Mongolia	Erdeneteast20km	26	2022	6	24	soil	Grassland	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	49_04_30_8	104_19_47_1	49.075222	104.32975	1650_1800	1100m	28.8	37.5	1100	-1.058333	15.15	29.53216	1406.74	23.4	-27.9	51.3	15.45	-19.2333	15.45	-19.2333	329	93	2	113.6396	230	7	230	7	I(Lithosols)
7Mo26_10	7Mo26_10	Mongolia	Erdeneteast20km	26	2022	6	24	soil	Grassland	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	49_04_30_8	104_19_47_1	49.075222	104.32975	1650_1800	1100m	28.8	37.5	1100	-1.058333	15.15	29.53216	1406.74	23.4	-27.9	51.3	15.45	-19.2333	15.45	-19.2333	329	93	2	113.6396	230	7	230	7	I(Lithosols)
7Mo26_11	7Mo26_11	Mongolia	Erdeneteast20km	26	2022	6	24	soil	Grassland	Sunny	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	49_04_30_8	104_19_47_1	49.075222	104.32975	1650_1800	1100m	28.8	37.5	1100	-1.058333	15.15	29.53216	1406.74	23.4	-27.9	51.3	15.45	-19.2333	15.45	-19.2333	329	93	2	113.6396	230	7	230	7	I(Lithosols)
23Mo7_28_1	23Mo7_28_1	Mongolia	Arvaikheer_Oldzeyte	28	2023	7	9	gut	Grassland	Cloudy_(50%)	Scarabaeinae	Onthophagus	gibbulus	Tunneller	Unidentified	Horse	46_45_02_18	103_18_26_74	46.750606	103.307428	1140_1210	1670m	24.3	45.5	1670	-0.7	13.5	28.42105	1297.909	22	-25.5	47.5	14.55	-17.3667	14.55	-17.36667	250	70	1	112.7302	176	5	176	5	I(Lithosols)
23Mo7_28_2	23Mo7_28_2	Mongolia	Arvaikheer_Oldzeyte	28	2023	7	9	gut	Grassland	Cloudy_(50%)	Scarabaeinae	Onthophagus	laticornis	Tunneller	Unidentified	Horse	46_45_02_18	103_18_26_74	46.750606	103.307428	1140_1210	1670m	24.3	45.5	1670	-0.7	13.5	28.42105	1297.909	22	-25.5	47.5	14.55	-17.3667	14.55	-17.36667	250	70	1	112.7302	176	5	176	5	I(Lithosols)
23Mo7_28_3	23Mo7_28_3	Mongolia	Arvaikheer_Oldzeyte	28	2023	7	9	gut	Grassland	Cloudy_(50%)	Scarabaeinae	Onthophagus	gibbulus	Tunneller	Unidentified	Horse	46_45_02_18	103_18_26_74	46.750606	103.307428	1140_1210	1670m	24.3	45.5	1670	-0.7	13.5	28.42105	1297.909	22	-25.5	47.5	14.55	-17.3667	14.55	-17.36667	250	70	1	112.7302	176	5	176	5	I(Lithosols)
23Mo7_28_4	23Mo7_28_4	Mongolia	Arvaikheer_Oldzeyte	28	2023	7	9	gut	Grassland	Cloudy_(50%)	Scarabaeinae	Onthophagus	laticornis	Tunneller	Unidentified	Horse	46_45_02_18	103_18_26_74	46.750606	103.307428	1140_1210	1670m	24.3	45.5	1670	-0.7	13.5	28.42105	1297.909	22	-25.5	47.5	14.55	-17.3667	14.55	-17.36667	250	70	1	112.7302	176	5	176	5	I(Lithosols)
23Mo7_28_5	23Mo7_28_5	Mongolia	Arvaikheer_Oldzeyte	28	2023	7	9	gut	Grassland	Cloudy_(50%)	Scarabaeinae	Onthophagus	gibbulus	Tunneller	Unidentified	Horse	46_45_02_18	103_18_26_74	46.750606	103.307428	1140_1210	1670m	24.3	45.5	1670	-0.7	13.5	28.42105	1297.909	22	-25.5	47.5	14.55	-17.3667	14.55	-17.36667	250	70	1	112.7302	176	5	176	5	I(Lithosols)
23Mo7_28_6	23Mo7_28_6	Mongolia	Arvaikheer_Oldzeyte	28	2023	7	9	gut	Grassland	Cloudy_(50%)	Scarabaeinae	Onthophagus	gibbulus	Tunneller	Unidentified	Horse	46_45_02_18	103_18_26_74	46.750606	103.307428	1140_1210	1670m	24.3	45.5	1670	-0.7	13.5	28.42105	1297.909	22	-25.5	47.5	14.55	-17.3667	14.55	-17.36667	250	70	1	112.7302	176	5	176	5	I(Lithosols)
23Mo7_28_7	23Mo7_28_7	Mongolia	Arvaikheer_Oldzeyte	28	2023	7	9	gut	Grassland	Cloudy_(50%)	Scarabaeinae	Onthophagus	laticornis	Tunneller	Unidentified	Horse	46_45_02_18	103_18_26_74	46.750606	103.307428	1140_1210	1670m	24.3	45.5	1670	-0.7	13.5	28.42105	1297.909	22	-25.5	47.5	14.55	-17.3667	14.55	-17.36667	250	70	1	112.7302	176	5	176	5	I(Lithosols)
23Mo7_28_8	23Mo7_28_8	Mongolia	Arvaikheer_Oldzeyte	28	2023	7	9	gut	Grassland	Cloudy_(50%)	Scarabaeinae	Onthophagus	laticornis	Tunneller	Unidentified	Horse	46_45_02_18	103_18_26_74	46.750606	103.307428	1140_1210	1670m	24.3	45.5	1670	-0.7	13.5	28.42105	1297.909	22	-25.5	47.5	14.55	-17.3667	14.55	-17.36667	250	70	1	112.7302	176	5	176	5	I(Lithosols)
23Mo7_28_9	23Mo7_28_9	Mongolia	Arvaikheer_Oldzeyte	28	2023	7	9	gut	Grassland	Cloudy_(50%)	Histeridae	Unidentified	Unidentified	Unidentified	Unidentified	Horse	46_45_02_18	103_18_26_74	46.750606	103.307428	1140_1210	1670m	24.3	45.5	1670	-0.7	13.5	28.42105	1297.909	22	-25.5	47.5	14.55	-17.3667	14.55	-17.36667	250	70	1	112.7302	176	5	176	5	I(Lithosols)
23Mo7_28_10	23Mo7_28_10	Mongolia	Arvaikheer_Oldzeyte	28	2023	7	9	gut	Grassland	Cloudy_(50%)	Aphodiinae	Colobopterus	erraticus	Dweller	Unidentified	Horse	46_45_02_18	103_18_26_74	46.750606	103.307428	1140_1210	1670m	24.3	45.5	1670	-0.7	13.5	28.42105	1297.909	22	-25.5	47.5	14.55	-17.3667	14.55	-17.36667	250	70	1	112.7302	176	5	176	5	I(Lithosols)
23Mo7_28_11	23Mo7_28_11	Mongolia	Arvaikheer_Oldzeyte	28	2023	7	9	gut	Grassland	Cloudy_(50%)	Aphodiinae	Colobopterus	erraticus	Dweller	Unidentified	Horse	46_45_02_18	103_18_26_74	46.750606	103.307428	1140_1210	1670m	24.3	45.5	1670	-0.7	13.5	28.42105	1297.909	22	-25.5	47.5	14.55	-17.3667	14.55	-17.36667	250	70	1	112.7302	176	5	176	5	I(Lithosols)
23Mo7_28_12	23Mo7_28_12	Mongolia	Arvaikheer_Oldzeyte	28	2023	7	9	gut	Grassland	Cloudy_(50%)	Aphodiinae	Colobopterus	erraticus	Dweller	Unidentified	Horse	46_45_02_18	103_18_26_74	46.750606	103.307428	1140_1210	1670m	24.3	45.5	1670	-0.7	13.5	28.42105	1297.909	22	-25.5	47.5	14.55	-17.3667	14.55	-17.36667	250	70	1	112.7302	176	5	176	5	I(Lithosols)
23Mo7_28_13	23Mo7_28_13	Mongolia	Arvaikheer_Oldzeyte	28	2023	7	9	gut	Grassland	Cloudy_(50%)	Aphodiinae	Colobopterus	erraticus	Dweller	Unidentified	Horse	46_45_02_18	103_18_26_74	46.750606	103.307428	1140_1210	1670m	24.3	45.5	1670	-0.7	13.5	28.42105	1297.909	22	-25.5	47.5	14.55	-17.3667	14.55	-17.36667	250	70	1	112.7302	176	5	176	5	I(Lithosols)
23Mo7_28_14	23Mo7_28_14	Mongolia	Arvaikheer_Oldzeyte	28	2023	7	9	gut	Grassland	Cloudy_(50%)	Aphodiinae	Colobopterus	erraticus	Dweller	Unidentified	Horse	46_45_02_18	103_18_26_74	46.750606	103.307428	1140_1210	1670m	24.3	45.5	1670	-0.7	13.5	28.42105	1297.909	22	-25.5	47.5	14.55	-17.3667	14.55	-17.36667	250	70	1	112.7302	176	5	176	5	I(Lithosols)
23Mo7_28_15	23Mo7_28_15	Mongolia	Arvaikheer_Oldzeyte	28	2023	7	9	gut	Grassland	Cloudy_(50%)	Aphodiinae	Colobopterus	erraticus	Dweller	Unidentified	Horse	46_45_02_18	103_18_26_74	46.750606	103.307428	1140_1210	1670m	24.3	45.5	1670	-0.7	13.5	28.42105	1297.909	22	-25.5	47.5	14.55	-17.3667	14.55	-17.36667	250	70	1	112.7302	176	5	176	5	I(Lithosols)
23Mo7_28_16	23Mo7_28_16	Mongolia	Arvaikheer_Oldzeyte	28	2023	7	9	gut	Grassland	Cloudy_(50%)	Aphodiinae	Colobopterus	erraticus	Dweller	Unidentified	Horse	46_45_02_18	103_18_26_74	46.750606	103.307428	1140_1210	1670m	24.3	45.5	1670	-0.7	13.5	28.42105	1297.909	22	-25.5	47.5	14.55	-17.3667	14.55	-17.36667	250	70	1	112.7302	176	5	176	5	I(Lithosols)
