	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.Desert	rab.win.Grassland	diff.btw	diff.win	effect	overlap
SV1	0.0735791272599652	0.539120275396723	0.0979333166833167	0.57133617951949	-1.90645141131854	-0.307907253840489	-4.10854537992383	-4.08800112727787	5.77173832862862	-0.658096650379792	0.193146815546806
SV2	0.190425791596312	0.956368485334852	0.0822614885114885	0.668042697264452	10.9595359148486	12.8022740123855	9.87992578433024	-2.91083534639612	3.67690582884944	-0.61387346034398	0.193750398858247
SV3	0.224285843871608	0.947275209241496	0.46063832001332	0.99960407239819	4.60429097158015	8.81974048022259	4.05427707559317	-6.27286094819538	9.4627434522162	-0.523848488099113	0.373831884676639
SV5	0.358375276685561	1	0.481476856476856	0.99960407239819	10.4520548357812	10.6571953094378	10.2857725806809	-0.840269331818038	4.05060074812171	-0.205302040041899	0.356250127524218
SV18	0.0345304223391076	0.434160363945422	0.0466980935730936	0.521972635207929	0.988027800399841	4.39719018460975	-0.990708377075695	-5.45516827102434	6.12929228772284	-0.906738358154455	0.156250530469528
SV20	0.794513442363887	1	0.226939726939727	0.714822464655938	2.3828382287348	1.80064633988609	3.79582022441614	1.586096137495	5.97247646899701	0.257734253847716	0.320872440341276
SV28	0.873168788117661	1	0.729140651015652	1	6.72116921089339	4.19493013449709	7.07954730052635	0.423067384067356	6.11378615661496	0.120095546273096	0.461059221716205
SV33	0.24496744926709	0.857390276476947	0.416354478854479	0.926610167985626	-1.11944356534134	-0.499605445042422	-1.85540475984262	-1.8859516247244	6.54171793143378	-0.316361815815042	0.340625144367031
SV41	0.10235485894563	0.663307711972827	0.16665626040626	0.739809941924564	-0.4133471666299	1.30252023916944	-1.98621674916796	-3.30997479823094	6.84373872629955	-0.523006640764103	0.246106195675413
SV58	0.140101795510147	0.852657420836247	0.101544289044289	0.715444164191634	3.06162430850591	5.27756055300513	1.32072036699463	-5.12559321467836	7.03071047040806	-0.634646193501792	0.205607841051193
