	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SV3	1.90275199940098	3.78148544219834	1.33914052907765	2.8238152457404	0.00474557315057496	0.0358661257224988
SV1	23163.4068657617	3.25264515399205	1.0263374506475	3.16917710830878	0.0015287121084851	0.0356699491979857
SV915	37.3007630259945	3.15651545486715	1.2204467761002	2.58636059898773	0.00969953963157213	0.0484976981578607
SV20	1608.45531065453	-3.60292802456711	1.34010709407419	-2.6885373866752	0.00717657987979479	0.0418633826321363
SV115	74.2261443849068	-3.72603873922578	1.29202167754776	-2.88388252610263	0.00392805254926766	0.0358661257224988
SV18	2110.49626764942	-3.72858776411985	1.24422651607653	-2.99671138329165	0.00272908957716407	0.0358661257224988
SV146	11.2285530821909	-3.72864417054629	1.34693989325901	-2.76823352638594	0.00563610547067838	0.0358661257224988
SV412	7.45263419622198	-4.07372682186894	1.56250439549281	-2.60717783170402	0.00912919340863668	0.0484976981578607
SV41	80.9157177593519	-4.14534122277226	1.37292908208116	-3.01934111300821	0.00253325129895231	0.0358661257224988
SV2370	3.26642499429645	-4.359249731143	1.57275137897261	-2.77173480146026	0.00557584427294253	0.0358661257224988
SV951	4.91202526555773	-4.67226094529892	1.59461388309345	-2.93002650662681	0.00338933091044823	0.0358661257224988
SV1959	7.0023509537504	-5.45595793142675	1.94708199537116	-2.80212027248844	0.00507679429674754	0.0358661257224988
SV33	316.678320614371	-6.11163637266177	1.633450449878	-3.74154990322372	0.000182888851218763	0.0108457172678607
SV83	91.1420200882204	-6.20591313762942	1.7205672556738	-3.60689947874145	0.000309877636224591	0.0108457172678607
